,Precio,Combustible,Anyo,Kilometros,Potencia,Vendedor_profesional,Comunidad_Autonoma,Cluster_Marca,Cluster_Modelo
1,14490,Diésel,2016.0,93142,116.0,True,Catalunya,Premium,compacto_pequeno
2,1800,Diésel,2002.0,122000,90.0,True,Comunidad_Valenciana,Standard,compacto_grande
3,22800,Gasolina,2018.0,29060,205.0,True,País_Vasco,Standard,compacto_grande
4,25900,Gasolina,2011.0,34670,184.0,True,Comunidad_Valenciana,Premium,coupe_grande
5,29418,Diésel,2017.0,47100,194.0,True,Comunidad_Valenciana,Premium,sedan_grande
6,13400,Diésel,2013.0,113000,115.0,False,Catalunya,Mid_Premium,sedan_pequeno
9,9950,Diésel,2009.0,195000,170.0,True,Comunidad_de_Madrid,Mid_Premium,sedan_grande
10,12499,Diésel,2013.0,89000,116.0,True,Catalunya,Premium,compacto_pequeno
12,3900,Diésel,2003.0,213000,150.0,False,Comunidad_Valenciana,Standard,compacto_grande
13,19900,Gasolina,2019.0,6241,115.0,True,Comunidad_de_Madrid,Mid_Premium,compacto_grande
14,6999,Diésel,2008.0,130000,136.0,False,Comunidad_de_Madrid,Mid_Premium,suv_pequeno
15,14580,Gasolina,2014.0,123993,122.0,True,Castilla_y_León,Premium,compacto_pequeno
16,900,Diésel,2003.0,231000,58.0,False,Catalunya,Standard,compacto_pequeno
17,22850,Diésel,2017.0,107000,130.0,True,Andalucía,Standard,furgon_trabajo
18,1000,Diésel,1999.0,200000,96.0,False,Andalucía,Standard,sedan_pequeno
19,2399,Diésel,2002.0,263000,71.0,True,Comunidad_Valenciana,Standard,furgon_trabajo
20,8900,Gasolina,2017.0,103950,95.0,True,Andalucía,Standard,compacto_pequeno
21,11300,Gasolina,2019.0,9860,69.0,True,Comunidad_de_Madrid,Low_Cost,compacto_pequeno
23,17490,Diésel,2017.0,89990,150.0,True,Comunidad_Valenciana,Premium,compacto_pequeno
24,36990,Gasolina,2019.0,18623,150.0,True,Comunidad_de_Madrid,Premium,suv_grande
25,5900,Diésel,2011.0,180000,121.5489566613162,False,Catalunya,Mid_Premium,compacto_grande
26,10970,Gasolina,2018.0,51056,90.0,True,Comunidad_Valenciana,Low_Cost,compacto_pequeno
27,8595,Diésel,2016.0,75341,75.0,True,Comunidad_Valenciana,Standard,compacto_pequeno
28,2000,Diésel,2001.0,240000,121.5489566613162,False,Galicia,Mid_Premium,compacto_grande
29,4500,Diésel,2006.0,279000,128.46183953033267,False,Comunidad_de_Madrid,Premium,compacto_grande
30,9000,Diésel,2017.0,98000,100.0,True,Castilla_y_León,Standard,furgon_trabajo
32,4900,Diésel,2007.0,215000,140.0,False,Comunidad_Valenciana,Mid_Premium,coupe_pequeno
33,4200,Diésel,2007.0,200000,90.0,True,Galicia,Low_Cost,compacto_pequeno
34,11900,Gasolina,2019.0,24783,69.0,True,Andalucía,Low_Cost,compacto_pequeno
35,3800,Gasolina,2006.0,158000,174.45454545454547,False,Comunidad_Valenciana,Standard,sedan_grande
36,14990,Gasolina,2020.0,0,110.0,True,Comunidad_de_Madrid,Standard,compacto_pequeno
37,5000,Gasolina,2012.0,130000,129.88484848484848,False,Castilla_y_León,Standard,compacto_grande
38,11500,Gasolina,2018.0,31242,90.0,False,Canarias,Standard,suv_pequeno
39,2700,Diésel,2006.0,205583,110.0,False,Extremadura,Standard,sedan_grande
40,20700,Diésel,2020.0,15,115.0,True,Comunidad_Valenciana,Standard,compacto_grande
41,7000,Diésel,2009.0,190000,121.58181818181818,False,Comunidad_Valenciana,Mid_Premium,suv_grande
42,18200,Gasolina,2020.0,10,125.0,True,Catalunya,Standard,compacto_grande
43,650,Gasolina,1993.0,185000,88.73988439306359,False,Comunidad_Valenciana,Standard,compacto_pequeno
45,20990,Diésel,2017.0,49509,150.0,True,Comunidad_de_Madrid,Premium,suv_pequeno
46,10990,Diésel,2016.0,170000,150.0,False,Andalucía,Mid_Premium,sedan_grande
47,15900,Diésel,2015.0,149000,150.0,True,Galicia,Mid_Premium,compacto_grande
48,17900,Gasolina,2020.0,6200,110.0,True,Comunidad_Valenciana,Low_Cost,compacto_grande
49,11700,Diésel,2013.0,119000,90.0,True,Aragón,Premium,compacto_pequeno
50,3950,Diésel,2006.0,113000,109.0,True,Andalucía,Standard,otro
51,18290,Diésel,2017.0,78000,178.0,True,Comunidad_de_Madrid,Standard,suv_grande
53,21900,Eléctrico,2019.0,25000,150.0,True,Canarias,Standard,sedan_pequeno
54,12800,Diésel,2012.0,276000,170.0,False,Comunidad_de_Madrid,Premium,sedan_pequeno
56,22900,Gasolina,2020.0,12000,141.0,True,Comunidad_de_Madrid,Standard,compacto_grande
57,5000,Gasolina,1994.0,230000,124.13658536585366,False,Comunidad_Valenciana,Low_Cost,compacto_grande
58,1250,Diésel,2003.0,299500,100.0,True,Andalucía,Standard,compacto_grande
59,5000,Diésel,2011.0,164,149.375,False,Canarias,Standard,sedan_grande
60,12300,Diésel,2017.0,42000,75.0,True,Castilla_La_Mancha,Standard,compacto_pequeno
62,13990,Diésel,2015.0,55698,120.0,True,Catalunya,Standard,suv_grande
63,21490,Gasolina,2020.0,9629,140.0,True,Cantabria,Standard,suv_grande
64,29700,Eléctrico,2020.0,3400,146.0,True,Galicia,Standard,otro
65,30990,Gasolina,2016.0,36990,177.0,True,Andalucía,Premium,sedan_grande
66,1100,Diésel,2001.0,243215,70.0,True,Comunidad_de_Madrid,Mid_Premium,compacto_grande
67,3000,Diésel,2006.0,300000,121.5489566613162,False,Castilla_y_León,Mid_Premium,compacto_grande
68,9850,Diésel,2011.0,110000,116.0,True,Castilla_y_León,Standard,suv_pequeno
69,20400,Diésel,2019.0,14601,150.0,True,Comunidad_Valenciana,Standard,furgon_trabajo
70,1700,Gasolina,2006.0,135000,94.73568281938326,False,Comunidad_Valenciana,Standard,compacto_pequeno
71,11500,Diésel,2015.0,96850,90.0,False,Comunidad_Valenciana,Premium,compacto_pequeno
72,9700,Diésel,2016.0,71983,95.0,True,Andalucía,Low_Cost,compacto_grande
73,13900,Gasolina,2016.0,31000,140.0,True,Catalunya,Low_Cost,suv_pequeno
74,8500,Diésel,2008.0,170000,170.32142857142858,False,Andalucía,Premium,sedan_pequeno
75,11690,Diésel,2016.0,59919,110.0,True,Comunidad_de_Madrid,Standard,compacto_grande
76,3900,Diésel,2001.0,283537,130.0,True,Galicia,Premium,sedan_grande
77,20200,Diésel,2018.0,62000,114.0,True,Catalunya,Premium,furgon_pasajero
78,13000,Diésel,2016.0,42000,141.0,False,Comunidad_de_Madrid,Standard,sedan_pequeno
79,1200,Diésel,1996.0,204900,166.58011049723757,False,Catalunya,Premium,sedan_pequeno
80,2500,Gasolina,2010.0,247140,60.0,False,Comunidad_de_Madrid,Standard,compacto_pequeno
81,26500,Diésel,2016.0,75000,180.0,True,Andalucía,Premium,suv_grande
82,13900,Gasolina,2019.0,9719,112.0,True,Comunidad_de_Madrid,Standard,suv_pequeno
85,11900,Gasolina,2014.0,79000,125.0,True,País_Vasco,Standard,compacto_grande
