,Precio,Combustible,Anyo,Kilometros,Potencia,Vendedor_profesional,Comunidad_Autonoma,Cluster_Marca,Cluster_Modelo
0,950,Diésel,2000.0,227000,111.92307692307692,False,Navarra,Standard,sedan_pequeno
1,6200,Gasolina,2017.0,50071,82.0,True,Canarias,Standard,compacto_pequeno
2,7851,Diésel,2016.0,103000,100.0,True,Catalunya,Standard,otro
3,19426,Diésel,2014.0,120000,140.0,True,Navarra,Mid_Premium,furgon_pasajero
4,22850,Diésel,2017.0,107000,130.0,True,Andalucía,Standard,furgon_trabajo
5,11490,Gasolina,2016.0,78665,130.0,True,Comunidad_de_Madrid,Standard,suv_grande
6,28500,Diésel,2017.0,36238,150.0,True,Islas_Baleares,Mid_Premium,otro
7,8200,Diésel,2012.0,203000,150.0,False,Catalunya,Mid_Premium,compacto_grande
8,12100,Gasolina,2018.0,45000,110.0,False,Comunidad_Valenciana,Standard,furgon_trabajo
9,6300,Gasolina,2016.0,77000,80.0,False,Catalunya,Standard,otro
10,13900,Diésel,2017.0,81000,100.0,True,Región_de_Murcia,Standard,furgon_trabajo
12,1300,Gasolina,2001.0,217000,75.0,False,Catalunya,Mid_Premium,compacto_pequeno
14,9500,Diésel,2017.0,101623,95.0,True,Comunidad_de_Madrid,Low_Cost,suv_pequeno
15,13990,Gasolina,2019.0,7591,115.0,True,Comunidad_de_Madrid,Standard,sedan_grande
16,4200,Diésel,2005.0,240000,170.32142857142858,False,Andalucía,Premium,sedan_pequeno
17,4990,Gasolina,2014.0,80000,115.0,True,Canarias,Standard,sedan_pequeno
18,5100,Diésel,2009.0,189500,131.46666666666667,False,Comunidad_de_Madrid,Standard,otro
19,5900,Diésel,2009.0,129000,138.00596421471172,False,Comunidad_Valenciana,Premium,compacto_pequeno
20,8000,Diésel,2010.0,135000,120.0,False,Navarra,Low_Cost,otro
21,12700,Gasolina,2018.0,53000,125.0,True,Comunidad_Valenciana,Standard,suv_grande
22,12490,Gasolina,2019.0,13000,68.0,True,Andalucía,Standard,compacto_pequeno
24,28900,Diésel,2020.0,5000,116.0,True,Catalunya,Premium,compacto_pequeno
25,8490,Diésel,2014.0,139990,130.0,True,Comunidad_de_Madrid,Low_Cost,compacto_grande
26,5000,Diésel,2006.0,222500,140.0,False,Catalunya,Premium,compacto_grande
27,10890,Diésel,2009.0,214650,175.0,True,Catalunya,Mid_Premium,suv_grande
28,15300,Diésel,2016.0,67602,114.0,True,Comunidad_de_Madrid,Standard,otro
29,12790,Gasolina,2018.0,29000,125.0,True,Comunidad_de_Madrid,Standard,compacto_grande
30,12800,Diésel,2016.0,60029,120.0,True,Andalucía,Low_Cost,otro
31,10000,Diésel,2009.0,162000,177.0,True,Comunidad_de_Madrid,Premium,sedan_pequeno
32,29300,Diésel,2019.0,11936,150.0,True,Galicia,Standard,suv_grande
33,14650,Gasolina,2019.0,14000,90.0,True,Comunidad_de_Madrid,Standard,suv_pequeno
34,11400,Gasolina,2017.0,28000,110.0,False,Catalunya,Standard,compacto_pequeno
35,4500,Diésel,2008.0,128000,121.65040650406505,False,Andalucía,Standard,suv_grande
36,18900,Diésel,2014.0,99800,190.0,True,Principado_de_Asturias,Premium,sedan_grande
37,37000,Híbrido enchufable,2020.0,1200,225.0,True,Galicia,Standard,otro
38,6750,Diésel,2015.0,215000,120.0,True,Andalucía,Standard,compacto_grande
39,32300,Híbrido enchufable,2021.0,2800,141.0,True,Región_de_Murcia,Standard,suv_pequeno
40,9500,Diésel,2016.0,101859,120.0,True,Comunidad_de_Madrid,Low_Cost,sedan_grande
41,11300,Diésel,2016.0,77867,110.0,True,Catalunya,Mid_Premium,compacto_grande
42,9500,Gasolina,2018.0,43543,75.0,True,Catalunya,Standard,compacto_pequeno
44,26995,Diésel,2021.0,1,130.0,True,Aragón,Standard,otro
45,14900,Diésel,2016.0,155000,115.0,True,Castilla_y_León,Mid_Premium,otro
46,19150,Gasolina,2019.0,13871,81.0,True,Galicia,Low_Cost,suv_grande
47,10500,Diésel,2016.0,127000,110.0,True,Cantabria,Standard,compacto_grande
48,29700,Diésel,2019.0,14743,122.85889570552148,True,Galicia,Premium,compacto_pequeno
49,26400,Diésel,2020.0,50,150.0,True,Castilla_La_Mancha,Standard,compacto_grande
50,7900,Gasolina,2015.0,54200,80.0,False,Galicia,Standard,otro
51,5000,Diésel,2007.0,315000,131.9009900990099,False,Comunidad_de_Madrid,Standard,sedan_grande
52,13500,Diésel,2014.0,104000,109.0,True,Comunidad_Valenciana,Premium,compacto_pequeno
53,23900,Diésel,2016.0,150276,194.0,True,País_Vasco,Premium,sedan_grande
55,8399,Gasolina,2014.0,88056,125.0,True,Andalucía,Low_Cost,suv_grande
56,10499,Diésel,2017.0,47396,90.0,True,Andalucía,Standard,compacto_grande
57,17890,Diésel,2015.0,90000,140.0,True,Castilla_y_León,Mid_Premium,otro
60,10000,Gasolina,2008.0,180000,200.0,False,Castilla_y_León,Standard,compacto_pequeno
61,18990,Diésel,2016.0,93000,150.0,True,País_Vasco,Mid_Premium,suv_grande
62,8500,Diésel,2014.0,202100,109.0,True,Comunidad_de_Madrid,Low_Cost,suv_grande
63,11900,Diésel,2014.0,165999,120.0,True,Andalucía,Premium,sedan_grande
64,11900,Diésel,2015.0,86686,120.0,True,Andalucía,Standard,suv_grande
65,4800,Diésel,2007.0,213000,121.5489566613162,False,Andalucía,Mid_Premium,compacto_grande
66,16190,Gasolina,2020.0,3239,100.0,True,Comunidad_de_Madrid,Standard,compacto_pequeno
67,7900,Diésel,2008.0,199000,121.5489566613162,False,Comunidad_de_Madrid,Mid_Premium,compacto_grande
69,25400,Diésel,2017.0,36000,190.0,True,Catalunya,Premium,suv_grande
70,13100,Gasolina,2019.0,4553,100.0,True,Catalunya,Low_Cost,compacto_pequeno
71,17990,Diésel,2013.0,159000,184.0,True,Comunidad_de_Madrid,Mid_Premium,compacto_grande
72,8400,Gasolina,2012.0,107000,135.0,True,País_Vasco,Standard,sedan_pequeno
73,15500,Eléctrico,2016.0,49000,170.0,True,Comunidad_de_Madrid,Premium,otro
74,9450,Gasolina,2018.0,37000,85.0,True,Comunidad_Valenciana,Standard,compacto_pequeno
75,800,Gasolina,1998.0,120000,135.0,False,Castilla_La_Mancha,Standard,otro
76,5500,Diésel,2009.0,202000,140.0,True,Andalucía,Standard,suv_grande
77,8499,Diésel,2013.0,259000,116.0,True,Comunidad_de_Madrid,Premium,compacto_pequeno
79,10990,Diésel,2015.0,102100,110.0,True,Comunidad_Valenciana,Standard,suv_pequeno
80,1500,Diésel,2003.0,308000,140.35576923076923,False,Comunidad_de_Madrid,Standard,sedan_grande
81,16200,Gasolina,2018.0,45168,120.0,True,Comunidad_Valenciana,Standard,suv_pequeno
82,2199,Diésel,2007.0,90000,80.67460317460318,False,Andalucía,Standard,compacto_pequeno
83,3400,Diésel,2006.0,272000,140.0,True,Comunidad_de_Madrid,Mid_Premium,sedan_grande
84,17490,Gas natural (CNG),2019.0,18000,130.0,True,Comunidad_de_Madrid,Standard,sedan_grande
85,8500,Diésel,2009.0,146000,119.53658536585364,False,Comunidad_de_Madrid,Standard,suv_grande
86,21200,Gasolina,2020.0,10,129.0,True,La_Rioja,Standard,otro
87,7000,Gasolina,2009.0,119000,140.0,False,Islas_Baleares,Low_Cost,otro
88,4550,Gas natural (CNG),2013.0,114000,120.0,False,Comunidad_de_Madrid,Low_Cost,otro
89,9999,Diésel,2005.0,250000,111.990099009901,False,Comunidad_de_Madrid,Standard,suv_grande
91,37200,Diésel,2019.0,35760,190.0,True,Comunidad_de_Madrid,Premium,sedan_grande
92,5500,Diésel,2012.0,300000,110.0,True,Comunidad_Valenciana,Standard,compacto_grande
93,5700,Diésel,2008.0,250000,98.25547445255476,False,País_Vasco,Mid_Premium,furgon_trabajo
94,7480,Diésel,2007.0,90000,177.0,True,Catalunya,Premium,compacto_pequeno
95,12900,Diésel,2018.0,52700,99.0,True,Catalunya,Standard,compacto_grande
96,8999,Diésel,2005.0,199000,218.0,True,Comunidad_de_Madrid,Standard,otro
97,19900,Diésel,2019.0,17788,115.0,True,Andalucía,Standard,suv_pequeno
98,4500,Diésel,2007.0,86000,80.0,True,Principado_de_Asturias,Standard,compacto_pequeno
101,2700,Gasolina,2006.0,115000,86.06382978723404,False,Catalunya,Standard,compacto_pequeno
102,20300,Gasolina,2020.0,1,120.0,True,Comunidad_de_Madrid,Standard,suv_pequeno
103,8500,Gasolina,2013.0,120000,124.0,False,Andalucía,Low_Cost,otro
104,16490,Diésel,2017.0,79900,178.0,True,Comunidad_de_Madrid,Standard,suv_grande
105,2000,Diésel,2002.0,325000,130.0,False,Extremadura,Premium,sedan_grande
106,3500,Gasolina,2006.0,229193,170.0,True,Castilla_La_Mancha,Low_Cost,compacto_grande
107,31600,Diésel,2020.0,1,150.0,True,Comunidad_de_Madrid,Standard,otro
108,16875,Gasolina,2019.0,12000,145.0,True,Catalunya,Mid_Premium,compacto_pequeno
109,32000,Diésel,2020.0,20100,116.0,True,Comunidad_de_Madrid,Premium,compacto_pequeno
110,20900,Diésel,2018.0,61823,125.0,True,Comunidad_Valenciana,Low_Cost,furgon_trabajo
111,10490,Gasolina,2006.0,148252,200.0,True,Andalucía,Mid_Premium,compacto_grande
112,16000,Diésel,2011.0,91000,184.0,False,Andalucía,Premium,sedan_grande
113,17000,Diésel,2020.0,5,102.0,True,Andalucía,Standard,compacto_pequeno
114,32900,Diésel,2018.0,11700,150.0,True,Comunidad_Valenciana,Premium,suv_grande
115,19500,Diésel,2014.0,210000,184.0,True,Comunidad_Valenciana,Premium,coupe_pequeno
116,22900,Diésel,2017.0,70000,150.0,True,Castilla_La_Mancha,Premium,suv_pequeno
117,14500,Eléctrico,2019.0,2000,82.0,True,Comunidad_de_Madrid,Standard,compacto_pequeno
118,19500,Diésel,2015.0,58000,150.0,False,Andalucía,Mid_Premium,coupe_pequeno
119,6950,Gasolina,2003.0,194000,98.09813084112147,False,Comunidad_de_Madrid,Standard,compacto_pequeno
121,4300,Gasolina,2004.0,225,136.31578947368422,False,Comunidad_de_Madrid,Standard,suv_grande
122,17300,Diésel,2014.0,91473,140.0,True,Navarra,Mid_Premium,suv_pequeno
123,14500,Diésel,2007.0,175000,224.0,False,Comunidad_Valenciana,Premium,suv_grande
124,7490,Diésel,2012.0,220000,105.0,True,Comunidad_de_Madrid,Premium,compacto_grande
125,30000,Diésel,2018.0,14000,136.0,False,Comunidad_de_Madrid,Premium,sedan_pequeno
126,21400,Gasolina,2019.0,1,145.0,True,Catalunya,Low_Cost,compacto_grande
127,5200,Diésel,2013.0,158000,85.13253012048193,False,Andalucía,Low_Cost,compacto_pequeno
128,4999,Gasolina,2002.0,160000,170.0,True,Comunidad_Valenciana,Premium,coupe_grande
129,4950,Gasolina,2005.0,94000,157.4793388429752,False,Catalunya,Premium,compacto_pequeno
130,5850,Diésel,2008.0,159000,120.0,True,Castilla_y_León,Low_Cost,suv_grande
131,17350,Diésel,2016.0,57054,110.0,True,Catalunya,Premium,compacto_grande
132,3500,Diésel,2007.0,140000,70.0,False,Comunidad_de_Madrid,Standard,otro
133,9900,Diésel,2016.0,58000,120.0,True,Catalunya,Low_Cost,furgon_trabajo
134,8300,Diésel,2016.0,173707,136.0,True,Aragón,Low_Cost,sedan_grande
135,16800,Diésel,2018.0,29000,120.0,True,Galicia,Standard,suv_pequeno
136,2800,Diésel,2006.0,134000,130.0,False,Andalucía,Standard,compacto_grande
137,7900,Diésel,2016.0,156980,115.0,True,Principado_de_Asturias,Standard,compacto_grande
138,8990,Diésel,2014.0,119500,109.0,True,Andalucía,Low_Cost,suv_grande
139,16999,Diésel,2011.0,146000,102.0,True,Andalucía,Mid_Premium,furgon_trabajo
140,10710,Diésel,2016.0,87100,120.0,True,Aragón,Standard,compacto_grande
141,2800,Diésel,2007.0,250000,122.96774193548389,False,Castilla_La_Mancha,Low_Cost,suv_grande
143,35375,Híbrido enchufable,2020.0,1,225.0,True,Castilla_La_Mancha,Standard,otro
144,10900,Gasolina,2020.0,12750,69.0,True,Catalunya,Mid_Premium,compacto_pequeno
145,9000,Gasolina,2002.0,238000,143.75,False,Comunidad_Valenciana,Mid_Premium,compacto_grande
146,7500,Gasolina,2015.0,100000,84.0,False,Comunidad_de_Madrid,Standard,compacto_pequeno
147,14900,Gasolina,2019.0,19420,95.0,True,Catalunya,Mid_Premium,compacto_pequeno
148,1200,Gasolina,1997.0,200000,215.95910780669143,False,Extremadura,Premium,sedan_pequeno
149,33835,Diésel,2021.0,1,130.0,True,Comunidad_Valenciana,Standard,suv_grande
150,9750,Gasolina,2016.0,85000,125.0,False,Navarra,Low_Cost,compacto_grande
151,21490,Gasolina,2017.0,79999,150.0,True,Comunidad_Valenciana,Premium,suv_pequeno
152,10500,Diésel,2010.0,233000,188.67676767676767,False,Andalucía,Premium,sedan_grande
153,7650,Diésel,2010.0,185700,150.0,True,Comunidad_de_Madrid,Mid_Premium,sedan_grande
154,10900,Diésel,2016.0,54327,90.0,True,Andalucía,Standard,compacto_grande
155,2700,Diésel,2013.0,240000,95.0,False,Catalunya,Low_Cost,compacto_pequeno
156,12450,Diésel,2018.0,41844,120.0,True,Comunidad_Valenciana,Low_Cost,compacto_pequeno
157,1000,Diésel,2000.0,200000,76.06060606060606,False,Castilla_y_León,Standard,compacto_pequeno
158,8800,Diésel,2009.0,219000,177.0,False,Comunidad_Valenciana,Premium,compacto_pequeno
159,5500,Diésel,2009.0,107000,70.0,True,Región_de_Murcia,Mid_Premium,compacto_pequeno
160,16900,Diésel,2017.0,88905,115.0,True,Región_de_Murcia,Mid_Premium,suv_grande
163,3600,Diésel,2006.0,268000,140.0487804878049,False,Castilla_y_León,Mid_Premium,sedan_grande
165,15000,Diésel,2013.0,47000,109.0,False,Andalucía,Premium,compacto_pequeno
166,28900,Diésel,2017.0,55962,190.0,True,Castilla_y_León,Premium,sedan_grande
167,10910,Diésel,2016.0,80743,102.0,True,Comunidad_de_Madrid,Mid_Premium,furgon_trabajo
168,2200,Diésel,2006.0,280000,115.0,True,Comunidad_Valenciana,Standard,compacto_grande
169,13850,Gasolina,2019.0,74000,130.0,True,Comunidad_Valenciana,Standard,compacto_grande
170,1500,Diésel,2006.0,283400,97.58730158730158,False,Comunidad_de_Madrid,Standard,suv_grande
172,12500,Híbrido,2016.0,85000,136.0,True,Comunidad_de_Madrid,Mid_Premium,compacto_grande
173,6750,Diésel,2014.0,114563,90.0,False,Comunidad_Valenciana,Low_Cost,otro
174,20300,Diésel,2018.0,10000,130.0,True,Andalucía,Standard,suv_grande
175,5490,Gasolina,2009.0,121300,101.0,True,Comunidad_Valenciana,Low_Cost,otro
176,16950,Diésel,2015.0,85000,143.0,False,Catalunya,Premium,sedan_pequeno
177,3900,Diésel,2005.0,195000,109.0,True,Comunidad_de_Madrid,Mid_Premium,otro
178,11500,Diésel,2011.0,189000,226.6190476190476,False,Andalucía,Premium,otro
179,2500,Diésel,2007.0,206000,70.0,False,Catalunya,Standard,compacto_pequeno
180,2900,Gasolina,2000.0,136000,105.0,True,Catalunya,Mid_Premium,compacto_grande
181,10600,Diésel,2017.0,91616,75.0,True,Galicia,Standard,compacto_pequeno
182,4800,Diésel,2003.0,280000,192.36688311688312,False,Andalucía,Premium,sedan_grande
183,22800,Gasolina,2020.0,20,163.0,True,Castilla_y_León,Standard,otro
184,18500,Gasolina,2017.0,70000,125.0,False,Comunidad_de_Madrid,Mid_Premium,coupe_pequeno
185,7290,Gasolina,2015.0,44000,110.0,True,Canarias,Standard,compacto_grande
186,5499,Diésel,2008.0,159999,155.0,True,Catalunya,Standard,otro
187,7800,Diésel,2013.0,152000,114.625,False,Andalucía,Standard,sedan_grande
188,7900,Diésel,2015.0,169000,90.0,True,Galicia,Standard,compacto_grande
189,15990,Gasolina,2018.0,82000,115.0,True,Comunidad_de_Madrid,Mid_Premium,compacto_grande
191,25750,Diésel,2020.0,18,116.0,True,Comunidad_Valenciana,Standard,suv_grande
192,16900,Gasolina,2019.0,57000,140.0,True,Andalucía,Low_Cost,suv_pequeno
193,15400,Gasolina,2017.0,65000,125.0,True,Andalucía,Mid_Premium,compacto_grande
194,2000,Diésel,2007.0,220000,140.0,False,Andalucía,Mid_Premium,compacto_grande
195,19800,Diésel,2013.0,159000,177.0,False,Principado_de_Asturias,Premium,suv_grande
198,500,Gasolina,2005.0,159000,75.0,False,Canarias,Standard,sedan_pequeno
201,10000,Diésel,2008.0,240000,209.77777777777777,False,Canarias,Mid_Premium,otro
202,8500,Diésel,2016.0,160000,120.0,True,Andalucía,Standard,suv_grande
203,2950,Gasolina,2006.0,136377,125.0,True,Comunidad_de_Madrid,Standard,sedan_grande
204,11900,Diésel,2009.0,196000,182.26785714285717,False,Castilla_La_Mancha,Premium,suv_grande
205,5900,Diésel,2015.0,141000,95.0,False,Comunidad_de_Madrid,Standard,compacto_pequeno
206,3300,Gasolina,2008.0,123000,92.0,True,Andalucía,Standard,otro
207,16499,Diésel,2018.0,37000,115.0,True,Andalucía,Standard,otro
208,6500,Diésel,2010.0,224000,120.0,False,Extremadura,Standard,otro
209,26750,Diésel,2021.0,0,131.0,True,Castilla_La_Mancha,Standard,sedan_grande
210,2500,Diésel,2001.0,283400,136.0,False,País_Vasco,Premium,sedan_pequeno
211,18750,Diésel,2020.0,5,140.0,True,Principado_de_Asturias,Low_Cost,otro
212,9500,Gasolina,2018.0,30000,69.0,True,Catalunya,Low_Cost,compacto_pequeno
213,2500,Diésel,2000.0,165000,116.67323943661972,False,Comunidad_Valenciana,Standard,compacto_grande
214,11000,Diésel,2011.0,90000,90.0,True,Comunidad_Valenciana,Premium,compacto_pequeno
215,11200,Híbrido,2014.0,84822,136.0,True,Catalunya,Mid_Premium,compacto_grande
216,12500,Diésel,2017.0,47000,110.0,False,Comunidad_Valenciana,Mid_Premium,compacto_grande
217,4700,Diésel,2005.0,190000,109.0,True,Comunidad_Valenciana,Standard,otro
219,29100,Diésel,2017.0,52550,190.0,True,Castilla_La_Mancha,Premium,sedan_grande
220,12500,Híbrido,2016.0,43987,100.0,True,Catalunya,Mid_Premium,compacto_pequeno
221,25900,Gasolina,2020.0,8200,102.0,False,Principado_de_Asturias,Standard,otro
223,20900,Gasolina,2019.0,12000,140.0,True,Galicia,Standard,suv_grande
224,8990,Diésel,2017.0,127000,75.0,True,Comunidad_de_Madrid,Standard,compacto_pequeno
225,37500,Híbrido enchufable,2020.0,100,190.0,True,Aragón,Standard,suv_pequeno
226,17900,Diésel,2018.0,72000,115.0,True,Aragón,Standard,suv_grande
227,4000,Diésel,2009.0,210000,131.66304347826087,False,Comunidad_de_Madrid,Standard,sedan_grande
229,2300,Diésel,2004.0,184000,111.990099009901,False,Comunidad_Valenciana,Standard,suv_grande
230,17299,Diésel,2017.0,54478,115.0,True,Catalunya,Mid_Premium,suv_grande
231,19950,Gasolina,2010.0,134000,204.0,False,La_Rioja,Premium,otro
