,Precio
0,14490
1,1800
2,22800
3,25900
4,29418
5,13400
6,9950
7,12499
8,3900
9,19900
10,6999
11,14580
12,900
13,22850
14,1000
15,2399
16,8900
17,11300
18,17490
19,36990
20,5900
21,10970
22,8595
23,2000
24,4500
25,9000
26,4900
27,4200
28,11900
29,3800
30,14990
31,5000
32,11500
33,2700
34,20700
35,7000
36,18200
37,650
38,20990
39,10990
40,15900
41,17900
42,11700
43,3950
44,18290
45,21900
46,12800
47,22900
48,5000
49,1250
50,5000
51,12300
52,13990
53,21490
54,29700
55,30990
56,1100
57,3000
58,9850
59,20400
60,1700
61,11500
62,9700
63,13900
64,8500
65,11690
66,3900
67,20200
68,13000
69,1200
70,2500
71,26500
72,13900
73,11900
74,21990
75,1000
76,2999
77,23200
78,32200
79,4200
80,1390
81,28611
82,15900
83,17500
84,10300
85,9000
86,15490
87,2100
88,16216
89,1450
90,17490
91,20800
92,8000
93,2400
94,30990
95,4000
96,4000
97,5500
98,900
99,17799
100,30535
101,2950
102,18000
103,11800
104,1999
105,21900
106,9150
107,8600
108,29800
109,11950
110,8900
111,27900
112,21000
113,15400
114,10750
115,16950
116,4000
117,6200
118,7800
119,1200
120,4300
121,4690
122,17790
123,8500
124,17700
125,7499
126,14400
127,2500
128,12990
129,7899
130,7500
131,28990
132,7990
133,6700
134,20990
135,13000
136,6800
137,20500
138,22500
139,7490
140,12000
141,6900
142,14400
143,22900
144,5200
145,25990
146,24900
147,6900
148,11990
149,4500
150,19910
151,2500
152,22000
153,11700
154,8700
155,750
156,15500
157,28950
158,9750
159,5500
160,4900
161,19900
162,22900
163,14800
164,12890
165,24400
166,20990
167,25900
168,29990
169,1800
170,15900
171,19900
172,13552
173,12700
174,12000
175,32000
176,1100
177,2200
178,16900
179,15500
180,3900
181,2200
182,31990
183,10800
184,23500
185,1700
186,7000
187,4999
188,3550
189,1500
190,10100
191,1450
192,5500
193,3490
194,15500
195,4300
196,20800
197,27990
198,10690
199,2500
200,7300
201,22100
202,7000
203,14999
204,21900
205,10900
206,10990
207,7999
208,35000
209,16900
210,39809
211,15900
212,23900
213,16990
214,13910
215,27500
216,5800
217,10600
218,1500
219,2999
220,23500
221,25490
222,3450
223,24990
224,5600
225,15900
226,14463
227,21400
228,11900
229,6490
230,10000
231,23900
232,14400
233,12990
234,16800
235,7400
236,18390
237,18900
238,2000
239,4699
240,11000
241,6999
242,4500
243,7900
244,3900
245,1750
246,4900
247,17450
248,8900
249,7950
250,5100
251,11750
252,17990
253,4290
254,19500
255,1200
256,2690
257,3890
258,14730
259,9999
260,19990
261,1000
262,21800
263,1500
264,4950
265,12900
266,23500
267,3800
268,990
269,21490
270,1500
271,8499
272,25900
273,7500
274,11290
275,16990
276,26750
277,16300
278,15900
279,17900
280,1800
281,16300
282,15500
283,21900
284,6900
285,14900
286,14700
287,31300
288,34900
289,15495
290,21659
291,5590
292,17200
293,30990
294,24000
295,21000
296,8900
297,20900
298,1600
299,19500
300,1000
301,21000
302,20200
303,16950
304,9000
305,4999
306,13990
307,18789
308,17900
309,2500
310,19975
311,17199
312,24900
313,4800
314,4500
315,17990
316,2500
317,2800
318,5500
319,20190
320,1990
321,15400
322,17700
323,15900
324,2800
325,17990
326,950
327,19490
328,11500
329,19900
330,12900
331,29100
332,7490
333,21100
334,2000
335,19790
336,26795
337,1900
338,23450
339,16500
340,700
341,29000
342,4000
343,34599
344,3490
345,14700
346,5000
347,29500
348,11900
349,12000
350,10790
351,14890
352,23500
353,3500
354,8990
355,1000
356,21900
357,14995
358,12990
359,11990
360,17900
361,10800
362,12990
363,15650
364,13900
365,3500
366,37490
367,37900
368,17350
369,8500
370,2500
371,26250
372,11500
373,18000
374,9799
375,1350
376,7990
377,8500
378,4499
379,400
380,13490
381,23990
382,20300
383,16900
384,34200
385,10950
386,36000
387,13500
388,23900
389,17300
390,13500
391,5000
392,16800
393,20900
394,4650
395,18900
396,3500
397,12000
398,3400
399,11695
400,19200
401,8400
402,7995
403,2950
404,1500
405,24400
406,8800
407,3900
408,11500
409,20900
410,2999
411,2250
412,15400
413,1150
414,9000
415,12650
416,31995
417,26999
418,1200
419,4999
420,36900
421,4200
422,19400
423,15900
424,14900
425,11999
426,5900
427,17900
428,34500
429,26900
430,33900
431,999
432,1100
433,9300
434,15600
435,30000
436,15900
437,19900
438,18800
439,19990
440,28890
441,15000
442,30500
443,11995
444,6900
445,7900
446,12900
447,6500
448,3300
449,11250
450,14400
451,12990
452,3000
453,11990
454,2900
455,11990
456,8499
457,36900
458,8900
459,16990
460,22500
461,13999
462,11500
463,12500
464,7000
465,7500
466,6900
467,850
468,20990
469,9850
470,10900
471,1400
472,22099
473,17500
474,12500
475,22950
476,13890
477,1900
478,24900
479,23990
480,6490
481,12900
482,9000
483,7999
484,8700
485,8390
486,2000
487,15800
488,9999
489,2999
490,3500
491,12550
492,7990
493,9900
494,24990
495,950
496,10900
497,9900
498,11000
499,5990
500,27499
501,1400
502,13950
503,18800
504,8990
505,24600
506,5999
507,5900
508,5700
509,1199
510,9700
511,14990
512,23890
513,8700
514,33800
515,7250
516,26795
517,13485
518,17400
519,12490
520,39430
521,4900
522,1900
523,6499
524,8700
525,15999
526,800
527,13900
528,28199
529,23900
530,9550
531,8700
532,22995
533,7000
534,16400
535,9790
536,8150
537,14990
538,1850
539,6500
540,9150
541,5300
542,14700
543,19900
544,11800
545,5995
546,14990
547,26999
548,10500
549,12950
550,14499
551,29300
552,13900
553,600
554,9300
555,5600
556,11200
557,8900
558,600
559,1500
560,9290
561,2500
562,3600
563,1500
564,26490
565,14500
566,11290
567,28990
568,9200
569,8500
570,17999
571,23900
572,17500
573,6500
574,2500
575,17100
576,36600
577,33900
578,3950
579,26100
580,15500
581,16700
582,8950
583,950
584,3650
585,16500
586,23000
587,11800
588,4990
589,19395
590,10900
591,2000
592,15900
593,32900
594,11499
595,15750
596,5000
597,5900
598,8900
599,8900
600,1499
601,25250
602,27990
603,31599
604,11500
605,20950
606,4000
607,2000
608,22150
609,19900
610,20700
611,7699
612,1999
613,10900
614,4490
615,6400
616,7500
617,4000
618,19500
619,18990
620,30665
621,20000
622,4500
623,24000
624,15990
625,18900
626,9990
627,29700
628,2500
629,8400
630,15400
631,13900
632,3550
633,4000
634,14700
635,38900
636,20490
637,19490
638,9990
639,22490
640,7300
641,2000
642,20000
643,10000
644,3900
645,3300
646,28000
647,18500
648,19950
649,2500
650,21900
651,14900
652,2000
653,25900
654,17250
655,6900
656,600
657,10250
658,3500
659,9250
660,15950
661,13500
662,11200
663,15390
664,3900
665,1680
666,9900
667,1900
668,22000
669,13500
670,17990
671,14500
672,16995
673,19900
674,1800
675,21995
676,24400
677,22990
678,4000
679,2300
680,6900
681,1200
682,10990
683,9900
684,7490
685,3999
686,21990
687,3500
688,2300
689,18999
690,26200
691,10900
692,11900
693,3000
694,33299
695,5900
696,11250
697,8950
698,2500
699,4800
700,14400
701,12900
702,400
703,15000
704,13900
705,19699
706,6000
707,15900
708,10500
709,1650
710,8800
711,2500
712,16500
713,6200
714,14900
715,23900
716,27490
717,21100
718,11999
719,4700
720,25190
721,35900
722,2500
723,8300
724,16490
725,5500
726,8000
727,21500
728,12990
729,8485
730,11800
731,13990
732,24950
733,18900
734,34900
735,2499
736,12990
737,15900
738,13990
739,850
740,3900
741,13000
742,16990
743,4500
744,750
745,6499
746,19999
747,22700
748,6000
749,14500
750,14500
751,9500
752,9900
753,2200
754,7950
755,35900
756,15900
757,9000
758,1200
759,11250
760,28800
761,7799
762,25700
763,7000
764,11199
765,24990
766,11899
767,28400
768,15999
769,5000
770,3990
771,22866
772,29900
773,6500
774,15300
775,11900
776,4500
777,20450
778,19900
779,25350
780,8900
781,11250
782,21000
783,18700
784,11500
785,2000
786,6900
787,4500
788,17400
789,13500
790,17995
791,8900
792,12990
793,10000
794,9000
795,6500
796,1990
797,15900
798,29990
799,10900
800,14600
801,18690
802,21400
803,14990
804,29250
805,11999
806,8500
807,5500
808,27995
809,750
810,20850
811,11500
812,7490
813,2500
814,18995
815,22990
816,20990
817,33000
818,13900
819,8500
820,26890
821,21995
822,23450
823,11600
824,3650
825,8600
826,21750
827,7499
828,12900
829,2800
830,4900
831,2800
832,7999
833,14500
834,5200
835,4500
836,3499
837,7290
838,19900
839,3800
840,21100
841,10500
842,8700
843,2800
844,15900
845,23900
846,8990
847,14950
848,750
849,2200
850,14950
851,9900
852,18700
853,2899
854,4500
855,3800
856,4990
857,11000
858,1300
859,6200
860,25900
861,19000
862,6900
863,14990
864,11000
865,13600
866,32690
867,18900
868,28990
869,9500
870,8399
871,2500
872,21500
873,15990
874,16900
875,18000
876,25595
877,9500
878,16950
879,22990
880,9000
881,13000
882,16500
883,5000
884,11990
885,1100
886,15300
887,34000
888,3300
889,11700
890,999
891,11990
892,1599
893,3290
894,15900
895,16999
896,5499
897,2500
898,5790
899,5800
900,17500
901,1100
902,22900
