,Marca,Modelo,Precio,Combustible,Anyo,Kilometros,Potencia,Vendedor_profesional,dealer,Comunidad_Autonoma
0,HONDA,Accord,3500,Gasolina,2007.0,385000,155.0,False,8e26e208e431b3826383cc2f36a10ff4,País_Vasco
1,BMW,Serie 1,14490,Diésel,2016.0,93142,116.0,True,Barcelona Premium,Catalunya
2,FORD,Focus,1800,Diésel,2002.0,122000,90.0,True,JCars.es,Comunidad_Valenciana
3,RENAULT,Megane,22800,Gasolina,2018.0,29060,205.0,True,Gaursa,País_Vasco
4,MERCEDES-BENZ,Clase SLK,25900,Gasolina,2011.0,34670,184.0,True,Carlos Cars,Comunidad_Valenciana
5,MERCEDES-BENZ,Clase E,29418,Diésel,2017.0,47100,194.0,True,Leasing Automobile,Comunidad_Valenciana
6,VOLVO,V40,13400,Diésel,2013.0,113000,115.0,False,6ad0b0e0cf4a57e04f7b6bc3073bc59e,Catalunya
7,VOLKSWAGEN,Golf,5500,Gasolina,1989.0,103730,75.0,False,a0faa4e5dade0d71f2ee64e320af9286,Comunidad_Valenciana
8,VOLVO,XC60,55400,Híbrido enchufable,2020.0,8,390.0,True,Vedat Valencia,Comunidad_Valenciana
9,VOLKSWAGEN,Passat CC,9950,Diésel,2009.0,195000,170.0,True,Bra Motors,Comunidad_de_Madrid
10,BMW,Serie 1,12499,Diésel,2013.0,89000,116.0,True,Ballestas Barbera,Catalunya
11,BMW,Serie 7,19500,Diésel,2012.0,200000,306.0,True,Automoviles 7ª Avenida SLU,Extremadura
12,SEAT,Leon,3900,Diésel,2003.0,213000,150.0,False,f156e7995d521f30e6c59a3d6c75e1e5,Comunidad_Valenciana
13,VOLKSWAGEN,Golf,19900,Gasolina,2019.0,6241,115.0,True,F Tome Dasweltauto,Comunidad_de_Madrid
14,TOYOTA,Corolla Verso,6999,Diésel,2008.0,130000,136.0,False,aa47f8215c6f30a0dcdb2a36a9f4168e,Comunidad_de_Madrid
15,MERCEDES-BENZ,Clase A,14580,Gasolina,2014.0,123993,122.0,True,HR Motor Salamanca,Castilla_y_León
16,CITROEN,Saxo,900,Diésel,2003.0,231000,58.0,False,59c938d0ae87aa82393e785ae0354830,Catalunya
17,FORD,Transit,22850,Diésel,2017.0,107000,130.0,True,"Autofleet España,s.l",Andalucía
18,SEAT,Cordoba,1000,Diésel,1999.0,200000,96.0,False,92eaf3719159c372f3d50337e0a14f57,Andalucía
19,PEUGEOT,Partner,2399,Diésel,2002.0,263000,71.0,True,Cars On Demande,Comunidad_Valenciana
20,SEAT,Ibiza,8900,Gasolina,2017.0,103950,95.0,True,Flexicar Sevilla,Andalucía
21,FIAT,500C,11300,Gasolina,2019.0,9860,69.0,True,Gyata,Comunidad_de_Madrid
22,MERCEDES-BENZ,300,1000,Diésel,1990.0,270000,87.0,False,974f01c79e07a57ff42642186ac3a61e,Galicia
23,BMW,Serie 1,17490,Diésel,2017.0,89990,150.0,True,Flexicar Valencia,Comunidad_Valenciana
24,AUDI,Q3,36990,Gasolina,2019.0,18623,150.0,True,Automóviles Argüelles,Comunidad_de_Madrid
25,VOLKSWAGEN,Golf,5900,Diésel,2011.0,180000,121.5489566613162,False,5bd537fc3789b5482e4936968f0fde95,Catalunya
26,OPEL,Corsa,10970,Gasolina,2018.0,51056,90.0,True,Horizont Auto,Comunidad_Valenciana
27,PEUGEOT,208,8595,Diésel,2016.0,75341,75.0,True,VALENCIA-A,Comunidad_Valenciana
28,VOLKSWAGEN,Golf,2000,Diésel,2001.0,240000,121.5489566613162,False,8f91bdb4de0142710ac1718345b96308,Galicia
29,AUDI,A3,4500,Diésel,2006.0,279000,128.46183953033267,False,3bffa4ebdf4874e506c2b12405796aa5,Comunidad_de_Madrid
30,CITROEN,Berlingo,9000,Diésel,2017.0,98000,100.0,True,Mobilcar,Castilla_y_León
31,JAGUAR,S-Type,2500,Gasolina,1999.0,112000,280.1111111111111,False,e30470ae2226896865b9c6b56a0f85d5,Comunidad_Valenciana
32,VOLKSWAGEN,Eos,4900,Diésel,2007.0,215000,140.0,False,662eaa47199461d01a623884080934ab,Comunidad_Valenciana
33,OPEL,Corsa,4200,Diésel,2007.0,200000,90.0,True,Autos Donaire,Galicia
34,FIAT,500,11900,Gasolina,2019.0,24783,69.0,True,Motordos,Andalucía
35,SAAB,9-3,3800,Gasolina,2006.0,158000,174.45454545454547,False,172522ec1028ab781d9dfd17eaca4427,Comunidad_Valenciana
36,CITROEN,C3 Aircross,14990,Gasolina,2020.0,0,110.0,True,Clicars,Comunidad_de_Madrid
37,PEUGEOT,308,5000,Gasolina,2012.0,130000,129.88484848484848,False,744d731033f8d1c0fbcfeb2e5293cb53,Castilla_y_León
